Date,Open,High,Low,Close,Adj Close,Volume
2019-03-12,127.489998,128.479996,126.669998,128.259995,126.565674,606900
2019-03-13,128.770004,129.300003,128.009995,128.759995,127.059067,849500
2019-03-14,128.210007,128.789993,127.830002,128.130005,126.683372,841300
2019-03-15,128.139999,129.070007,128.059998,128.429993,126.979965,1272500
2019-03-18,128.149994,129.000000,128.100006,128.690002,127.237045,620300
2019-03-19,128.820007,129.339996,128.369995,128.869995,127.415016,856500
2019-03-20,128.880005,129.490005,128.220001,128.289993,126.841553,604900
2019-03-21,128.149994,129.919998,128.149994,129.759995,128.294937,561900
2019-03-22,129.300003,129.649994,128.630005,128.889999,127.434792,629300
2019-03-25,129.169998,129.940002,128.360001,129.789993,128.324615,618300
2019-03-26,130.360001,131.770004,130.279999,131.710007,130.222946,576000
2019-03-27,131.720001,132.350006,130.850006,131.809998,130.321808,1270900
2019-03-28,132.020004,133.389999,130.949997,132.809998,131.310516,1477700
2019-03-29,133.000000,133.279999,132.360001,133.000000,131.498398,979900
2019-04-01,133.669998,134.419998,132.720001,134.240005,132.724396,775700
2019-04-02,134.220001,135.029999,133.570007,134.910004,133.386810,636900
2019-04-03,135.429993,136.990005,135.039993,136.309998,134.770996,1238700
2019-04-04,136.320007,136.699997,135.369995,135.710007,134.177795,492800
2019-04-05,135.850006,136.690002,135.169998,135.520004,133.989944,862500
2019-04-08,134.880005,135.770004,134.250000,135.380005,133.851501,659600
2019-04-09,134.949997,135.509995,134.490005,135.149994,133.624100,368900
2019-04-10,135.210007,135.559998,134.460007,134.759995,133.238510,867600
2019-04-11,134.960007,135.839996,134.309998,135.789993,134.256882,554200
2019-04-12,136.289993,137.000000,135.509995,136.979996,135.433456,485200
2019-04-15,136.899994,137.919998,136.179993,137.850006,136.293640,446500
2019-04-16,138.639999,138.929993,136.380005,136.539993,134.998413,702100
2019-04-17,137.199997,137.199997,136.169998,136.940002,135.393906,665800
2019-04-18,137.339996,138.470001,136.339996,137.990005,136.432037,373900
2019-04-22,137.600006,137.919998,137.000000,137.639999,136.085999,550600
2019-04-23,137.970001,139.520004,136.690002,139.470001,137.895309,518800
2019-04-24,139.470001,140.410004,139.089996,139.500000,137.925003,502900
2019-04-25,139.089996,139.479996,138.050003,138.789993,137.223007,626000
2019-04-26,139.139999,140.009995,138.759995,139.869995,138.290817,440300
2019-04-29,140.139999,140.449997,139.600006,140.369995,138.785172,494300
2019-04-30,140.610001,141.300003,140.059998,141.139999,139.546494,966100
2019-05-01,140.559998,142.470001,137.910004,139.880005,138.300705,732400
2019-05-02,139.550003,140.889999,139.179993,140.350006,138.765396,690100
2019-05-03,140.839996,143.270004,140.830002,143.210007,141.593109,514000
2019-05-06,141.210007,143.669998,141.130005,143.389999,141.771072,509600
2019-05-07,142.199997,142.529999,139.690002,140.500000,138.913696,881700
2019-05-08,140.500000,141.610001,139.729996,140.559998,138.973007,676300
2019-05-09,139.440002,141.089996,138.940002,140.500000,138.913696,899600
2019-05-10,140.000000,140.839996,137.839996,140.679993,139.091660,991200
2019-05-13,138.669998,138.899994,137.740005,138.479996,136.916519,1130900
2019-05-14,138.610001,140.220001,138.610001,139.320007,137.747040,1144700
2019-05-15,138.529999,141.520004,138.500000,140.779999,139.190536,707300
2019-05-16,140.960007,142.929993,140.729996,142.130005,140.525330,838200
2019-05-17,141.289993,142.929993,141.240005,141.970001,140.367111,656300
2019-05-20,140.630005,142.800003,140.630005,141.300003,139.704666,532500
2019-05-21,142.130005,143.339996,141.779999,143.190002,141.573334,606800
2019-05-22,143.160004,144.479996,142.990005,143.860001,142.235764,408000
2019-05-23,142.570007,143.509995,141.710007,142.160004,140.554977,497300
2019-05-24,143.059998,143.539993,141.960007,142.210007,140.604401,407000
2019-05-28,142.690002,144.380005,141.710007,142.020004,140.416550,1023300
2019-05-29,140.899994,141.550003,139.190002,139.669998,138.093063,978800
2019-05-30,140.399994,141.300003,139.539993,140.520004,138.933472,1982100
2019-05-31,139.259995,140.369995,139.259995,140.000000,138.419342,1185400
2019-06-03,140.449997,141.460007,139.410004,140.229996,138.646729,1394000
2019-06-04,141.289993,141.910004,139.679993,141.839996,140.238571,1751200
2019-06-05,142.229996,144.429993,142.229996,144.350006,142.720245,1633300
2019-06-06,144.500000,144.820007,143.419998,144.740005,143.105820,1020600
2019-06-07,145.000000,147.029999,144.990005,146.470001,144.816315,912300
2019-06-10,147.190002,147.500000,146.309998,146.869995,145.211777,714300
2019-06-11,147.570007,147.940002,144.970001,145.550003,143.906677,506700
2019-06-12,145.750000,146.529999,145.649994,145.970001,144.321945,692700
2019-06-13,145.970001,146.190002,144.899994,145.339996,143.945587,361500
2019-06-14,145.470001,146.179993,144.880005,145.830002,144.430893,896100
2019-06-17,146.089996,146.750000,144.899994,145.029999,143.638565,413200
2019-06-18,146.100006,146.470001,144.399994,144.509995,143.123535,937100
2019-06-19,144.440002,145.669998,144.080002,145.389999,143.995117,643300
2019-06-20,146.860001,147.309998,145.059998,146.009995,144.609161,871300
2019-06-21,146.130005,147.440002,141.720001,145.070007,143.678177,1768200
2019-06-24,145.169998,145.869995,144.600006,145.410004,144.014893,737900
2019-06-25,145.960007,146.880005,143.940002,144.330002,142.945282,692300
2019-06-26,144.339996,145.600006,142.610001,142.649994,141.281372,680700
2019-06-27,143.160004,144.839996,142.770004,144.619995,143.232498,888500
2019-06-28,144.850006,146.919998,143.910004,146.460007,145.054855,1183600
2019-07-01,147.520004,148.220001,146.539993,147.630005,146.213623,710300
2019-07-02,148.179993,149.110001,147.320007,148.589996,147.164398,717400
2019-07-03,148.710007,151.089996,148.710007,150.669998,149.224442,444600
2019-07-05,149.830002,149.830002,147.050003,148.869995,147.441727,1473200
2019-07-08,148.820007,149.509995,148.360001,148.869995,147.441727,494200
2019-07-09,148.520004,149.889999,148.100006,149.619995,148.184540,643900
2019-07-10,149.869995,150.940002,149.860001,150.009995,148.570786,643600
2019-07-11,150.259995,151.270004,149.470001,151.190002,149.739456,532800
2019-07-12,151.649994,152.100006,150.550003,151.830002,150.373322,492200
2019-07-15,152.300003,152.399994,151.220001,152.250000,150.789307,646200
2019-07-16,152.250000,153.369995,151.520004,151.770004,150.313889,467800
2019-07-17,152.220001,152.899994,151.449997,151.490005,150.036591,494200
2019-07-18,151.220001,153.000000,151.000000,152.960007,151.492493,682800
2019-07-19,153.820007,153.820007,151.289993,151.429993,149.977158,680300
2019-07-22,151.750000,152.440002,150.509995,150.509995,149.065979,558900
2019-07-23,151.259995,151.529999,149.869995,150.809998,149.363113,827900
2019-07-24,150.839996,152.009995,149.660004,150.770004,149.323502,645200
2019-07-25,151.729996,151.800003,149.820007,150.220001,148.778778,633800
2019-07-26,150.600006,152.720001,150.289993,152.509995,151.046783,671100
2019-07-29,152.690002,153.270004,152.139999,152.570007,151.106232,518700
2019-07-30,151.940002,153.110001,151.550003,152.039993,150.581314,690100
2019-07-31,152.039993,153.470001,150.020004,151.720001,150.264389,1234700
2019-08-01,150.509995,155.500000,150.509995,152.919998,151.452881,830600
2019-08-02,152.309998,154.149994,151.110001,153.229996,151.759888,874600
2019-08-05,151.929993,152.369995,148.429993,149.410004,147.976563,958000
2019-08-06,150.160004,152.619995,149.770004,152.339996,150.878418,805900
2019-08-07,150.729996,154.500000,149.080002,153.899994,152.423477,662600
2019-08-08,154.490005,156.309998,153.949997,156.169998,154.671677,969000
2019-08-09,156.059998,157.240005,154.789993,156.460007,154.958908,654700
2019-08-12,156.279999,156.990005,155.270004,155.460007,153.968506,505000
2019-08-13,155.500000,157.600006,154.850006,155.919998,154.424088,838800
2019-08-14,154.869995,155.869995,152.699997,153.089996,151.621216,973000
2019-08-15,153.720001,155.619995,153.490005,155.169998,153.681274,470600
2019-08-16,156.110001,157.160004,155.250000,156.880005,155.374863,511200
2019-08-19,158.000000,158.639999,157.460007,158.289993,156.771347,532900
2019-08-20,158.169998,158.570007,156.699997,158.210007,156.692123,634300
2019-08-21,159.139999,159.720001,158.389999,158.679993,157.157593,537300
2019-08-22,159.360001,159.630005,157.380005,158.050003,156.533646,537500
2019-08-23,157.580002,158.520004,153.910004,154.610001,153.126663,688500
2019-08-26,155.750000,159.380005,155.699997,157.360001,155.850266,583400
2019-08-27,158.360001,159.550003,157.869995,158.910004,157.385391,590300
2019-08-28,158.320007,159.910004,157.440002,159.779999,158.247055,471400
2019-08-29,160.449997,161.789993,159.350006,160.779999,159.237442,460100
2019-08-30,161.850006,162.130005,160.470001,161.539993,159.990173,659400
2019-09-03,161.860001,163.979996,160.419998,161.740005,160.188263,627000
2019-09-04,162.410004,164.000000,162.179993,162.839996,161.277695,654600
2019-09-05,164.059998,164.910004,163.100006,163.539993,161.970963,698700
2019-09-06,163.970001,164.970001,163.550003,164.580002,163.001007,572200
2019-09-09,164.330002,164.539993,159.929993,160.199997,158.663010,853700
2019-09-10,159.169998,159.440002,153.690002,155.119995,153.631760,1127100
2019-09-11,155.020004,156.190002,153.029999,155.110001,153.621872,1175200
2019-09-12,157.119995,159.169998,156.360001,157.429993,156.171295,686400
2019-09-13,157.130005,158.149994,155.300003,155.759995,154.514664,1002400
2019-09-16,154.880005,157.059998,153.520004,156.520004,155.268585,642800
2019-09-17,157.559998,158.919998,156.520004,158.649994,157.381561,746700
2019-09-18,158.130005,159.500000,157.050003,159.330002,158.056137,627200
2019-09-19,158.929993,159.940002,158.449997,158.699997,157.431152,426200
2019-09-20,158.240005,159.139999,157.529999,158.419998,157.153397,975600
2019-09-23,158.779999,158.970001,157.000000,157.320007,156.062210,557000
2019-09-24,158.039993,160.279999,156.770004,157.470001,156.211014,638700
2019-09-25,157.960007,158.059998,156.259995,157.800003,156.538361,645300
2019-09-26,158.059998,160.089996,157.419998,159.289993,158.016418,617800
2019-09-27,159.889999,160.559998,154.399994,155.589996,154.346024,853600
2019-09-30,155.589996,158.740005,155.179993,158.139999,156.875626,911100
2019-10-01,158.330002,158.619995,156.300003,156.449997,155.199142,600200
2019-10-02,155.250000,155.940002,152.720001,153.330002,152.104080,824300
2019-10-03,153.639999,154.399994,151.880005,154.300003,153.066330,824300
2019-10-04,154.729996,158.000000,154.630005,157.539993,156.280426,647100
2019-10-07,157.550003,157.830002,156.300003,157.169998,155.913391,359600
2019-10-08,156.429993,156.919998,154.789993,154.899994,153.661514,426300
2019-10-09,155.949997,157.970001,155.470001,157.089996,155.834030,480600
2019-10-10,156.809998,158.509995,156.130005,157.860001,156.597870,485200
2019-10-11,158.880005,159.570007,156.990005,157.110001,155.853882,690400
2019-10-14,157.440002,158.399994,155.259995,155.380005,154.137695,503100
2019-10-15,156.110001,156.800003,155.380005,156.080002,154.832108,700100
2019-10-16,155.190002,155.729996,152.949997,155.589996,154.346024,988800
2019-10-17,155.809998,156.750000,154.889999,155.220001,153.978989,878900
2019-10-18,155.490005,155.490005,153.630005,154.419998,153.185379,953700
2019-10-21,154.889999,155.389999,152.360001,153.470001,152.242966,654400
2019-10-22,157.800003,157.800003,150.990005,151.020004,149.812561,786400
2019-10-23,150.470001,151.940002,147.710007,148.630005,147.441681,1537600
2019-10-24,149.360001,150.729996,148.270004,149.750000,148.552719,731800
2019-10-25,150.149994,150.949997,148.619995,148.919998,147.729340,536600
2019-10-28,148.940002,149.699997,148.449997,148.550003,147.362320,716700
2019-10-29,147.770004,151.320007,147.770004,150.119995,148.919739,1962800
2019-10-30,146.169998,148.679993,145.009995,147.919998,146.737366,1340500
2019-10-31,147.360001,148.500000,144.320007,144.699997,143.543091,1004200
2019-11-01,144.789993,146.240005,144.789993,145.360001,144.197830,1002100
2019-11-04,145.500000,145.500000,140.009995,140.300003,139.178268,983600
2019-11-05,140.270004,140.889999,137.630005,138.779999,137.670425,1184000
2019-11-06,139.309998,141.100006,139.139999,140.779999,139.654449,1024400
2019-11-07,140.660004,141.559998,139.240005,139.800003,138.682266,1050300
2019-11-08,139.070007,140.350006,136.389999,136.750000,135.656662,1177000
2019-11-11,135.710007,137.410004,135.399994,137.380005,136.281616,925700
