Date, Open, High, Low, Close
2/9/2017,20061.73,20206.36,20061.73,20172.4
2/10/2017,20211.23,20298.21,20204.76,20269.37
2/13/2017,20338.54,20441.48,20322.95,20412.16
2/14/2017,20374.22,20504.41,20374.02,20504.41
2/15/2017,20504.27,20620.45,20496.03,20611.86
2/16/2017,20627.31,20639.87,20556.83,20619.77
2/17/2017,20564.13,20624.05,20532.61,20624.05
2/21/2017,20663.43,20757.64,20663.37,20743
2/22/2017,20715.41,20781.59,20692.39,20775.6
2/23/2017,20817.21,20840.7,20746.41,20810.32
2/24/2017,20751.91,20821.76,20733.95,20821.76
2/27/2017,20808.71,20851.33,20774.76,20837.44
2/28/2017,20833.88,20841.24,20781.21,20812.24
3/1/2017,20957.29,21169.11,20957.29,21115.55
3/2/2017,21128.91,21129.2,20996.61,21002.97
3/3/2017,21008.75,21039.96,20953.86,21005.71
3/6/2017,20955.71,20986.43,20912.11,20954.34
3/7/2017,20934.89,20970.54,20901.26,20924.76
3/8/2017,20940.44,20951.44,20835.58,20855.73
3/9/2017,20864.32,20900.57,20777.16,20858.19
3/10/2017,20919.01,20940.29,20827.66,20902.98
3/13/2017,20899.28,20926.06,20845.71,20881.48
3/14/2017,20848.6,20874,20786.31,20837.37
3/15/2017,20874.78,20977.47,20859.6,20950.1
3/16/2017,20969.27,21000.11,20893.5,20934.55
3/17/2017,20965.37,20980.51,20911.07,20914.62
3/20/2017,20916.27,20955.45,20885.7,20905.86
3/21/2017,20956.33,20970.04,20653.26,20668.01
3/22/2017,20640.42,20686.21,20578.95,20661.3
3/23/2017,20645.07,20757.89,20618.62,20656.58
3/24/2017,20674.45,20718.33,20529.67,20596.72
3/27/2017,20488.35,20578.46,20412.8,20550.98
3/28/2017,20542.14,20735.61,20520.1,20701.5
3/29/2017,20675.75,20684.73,20625.03,20659.32
3/30/2017,20662.79,20753.78,20643.6,20728.49
3/31/2017,20700.34,20722.59,20660.68,20663.22
4/3/2017,20665.17,20692.34,20517.82,20650.21
4/4/2017,20634.94,20701.29,20605.3,20689.24
4/5/2017,20745.06,20887.5,20639.55,20648.15
4/6/2017,20653.77,20746.46,20612.17,20662.95
4/7/2017,20647.81,20726.07,20606.95,20656.1
4/10/2017,20668.22,20750.33,20614.86,20658.02
4/11/2017,20644.32,20660.03,20512.56,20651.3
4/12/2017,20637.95,20642.54,20553.03,20591.86
4/13/2017,20561.69,20612.27,20453.25,20453.25
4/17/2017,20484.75,20644.41,20484.75,20636.92
4/18/2017,20561.39,20600.12,20462.28,20523.28
4/19/2017,20503.52,20546.69,20379.55,20404.49
4/20/2017,20406.68,20629.78,20406.68,20578.71
4/21/2017,20578.1,20601.4,20505.33,20547.76
4/24/2017,20723.59,20792.2,20723.59,20763.89
4/25/2017,20915.51,21026.97,20909.38,20996.12
4/26/2017,21009.95,21070.9,20972.27,20975.09
4/27/2017,20991.12,21005.8,20935.8,20981.33
4/28/2017,20987.39,20987.76,20926.75,20940.51
5/1/2017,20962.73,20976.62,20898.38,20913.46
5/2/2017,20941.19,20960.92,20904.06,20949.89
5/3/2017,20915,20972.74,20874.18,20957.9
5/4/2017,20987.83,20990.79,20847.95,20951.47
5/5/2017,20929.04,21006.94,20905,21006.94
5/8/2017,20991.26,21017.89,20971.05,21012.28
5/9/2017,21022.28,21046.85,20938.04,20975.78
5/10/2017,20958.49,20976.28,20884.15,20943.11
5/11/2017,20925.72,20933.36,20798.9,20919.42
5/12/2017,20893.19,20916.1,20869.74,20896.61
5/15/2017,20923.63,21000.83,20923.63,20981.94
5/16/2017,20984.48,21033.53,20932.88,20979.75
5/17/2017,20846.17,20846.17,20601.08,20606.93
5/18/2017,20579.65,20759.2,20553.45,20663.02
5/19/2017,20698.28,20857.13,20687.94,20804.84
5/22/2017,20867.77,20914.26,20860.16,20894.83
5/23/2017,20908.67,20961.14,20896.22,20937.91
5/24/2017,20949.21,21022.82,20933.58,21012.42
5/25/2017,21062.96,21112.32,21051.41,21082.95
5/26/2017,21070.15,21092.82,21050.49,21080.28
5/30/2017,21045.49,21063.62,21009.6,21029.47
5/31/2017,21048.46,21051.7,20942.57,21008.65
6/1/2017,21030.55,21144.18,20994.22,21144.18
6/2/2017,21142.09,21225.04,21129.56,21206.29
6/5/2017,21195.03,21224.41,21168.69,21184.04
6/6/2017,21145.48,21180.47,21118.46,21136.23
6/7/2017,21171.57,21189.84,21113.31,21173.69
6/8/2017,21169.76,21265.69,21138.16,21182.53
